nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"PreguntaAA40.18En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?","1","C","aa40_18","aa40_18","1,2,8,9"
"PreguntaAA41.1.18En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario?","4","C","aa41_1_18","aa41_1_18","0001-0672,8888, 9999"
"PreguntaAA41.2.18En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario?","1","C","aa41_2_18","aa41_2_18","1-4,8,9"
"PreguntaAA42.18¿Diría usted que fueron…","1","C","aa42_18","aa42_18","1-3,8,9"
"PreguntaAA43.18A continuación, le voy a mostrar unas figuras de cuerpo.","1","C","aa43_18","aa43_18","1,2"
"PreguntaAA43A.18¿Qué figura considera que se parece a usted en este momento?","1","C","aa43a_18","aa43a_18","A-R,7,8,9"
"PreguntaAA43B.18Ahora piense por favor cuando usted tenía 50 años, ¿qué figura considera que se parece más a usted a esa edad?","1","C","aa43b_18","aa43b_18","A-R,7,8,9"
"PreguntaAA43C.18Ahora piense por favor cuando usted tenía 20 años, ¿qué figura considera que se parece más a usted a esa edad?","1","C","aa43c_18","aa43c_18","A-R,7,8,9"
"PreguntaAA44.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","aa44_18","aa44_18","1,2,8,9"
"PreguntaAA44.1.18¿En qué año(s)?","1","C","aa44_1_18","aa44_1_18","0,1"
"PreguntaAA44.2.18¿En qué año(s)?","1","C","aa44_2_18","aa44_2_18","0,1"
"PreguntaAA44.3.18¿En qué año(s)?","1","C","aa44_3_18","aa44_3_18","0,1"
"PreguntaAA44.4.18¿En qué año(s)?","1","C","aa44_4_18","aa44_4_18","0,1"
"PreguntaAA44.5.18¿En qué año(s)?","1","C","aa44_5_18","aa44_5_18","0,1"
"PreguntaAA44.6.18¿En qué año(s)?","1","C","aa44_6_18","aa44_6_18","0,1"
"PreguntaAA44.7.18¿En qué año(s)?","1","C","aa44_7_18","aa44_7_18","0,1"
"PreguntaAA44.8.18¿En qué año(s)?","1","C","aa44_8_18","aa44_8_18","0,1"
"PreguntaAA44.9.18¿En qué año(s)?","1","C","aa44_9_18","aa44_9_18","0,1"
"PreguntaAA44.10.18¿En qué año(s)?","1","C","aa44_10_18","aa44_10_18","0,1"
"PreguntaAA44.11.18¿En qué año(s)?","1","C","aa44_11_18","aa44_11_18","0,1"
"PreguntaAA45.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","aa45_18","aa45_18","1,2,8,9"
"PreguntaAA45.1.18¿En qué año(s)?","1","C","aa45_1_18","aa45_1_18","0,1"
"PreguntaAA45.2.18¿En qué año(s)?","1","C","aa45_2_18","aa45_2_18","0,1"
"PreguntaAA45.3.18¿En qué año(s)?","1","C","aa45_3_18","aa45_3_18","0,1"
"PreguntaAA45.4.18¿En qué año(s)?","1","C","aa45_4_18","aa45_4_18","0,1"
"PreguntaAA45.5.18¿En qué año(s)?","1","C","aa45_5_18","aa45_5_18","0,1"
"PreguntaAA45.6.18¿En qué año(s)?","1","C","aa45_6_18","aa45_6_18","0,1"
"PreguntaAA45.7.18¿En qué año(s)?","1","C","aa45_7_18","aa45_7_18","0,1"
"PreguntaAA45.8.18¿En qué año(s)?","1","C","aa45_8_18","aa45_8_18","0,1"
"PreguntaAA45.9.18¿En qué año(s)?","1","C","aa45_9_18","aa45_9_18","0,1"
"PreguntaAA45.10.18¿En qué año(s)?","1","C","aa45_10_18","aa45_10_18","0,1"
"PreguntaAA45.11.18¿En qué año(s)?","1","C","aa45_11_18","aa45_11_18","0,1"
"PreguntaAA46.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","aa46_18","aa46_18","1,2,8,9"
"PreguntaAA46.1.18¿En qué año(s)?","1","C","aa46_1_18","aa46_1_18","0,1"
"PreguntaAA46.2.18¿En qué año(s)?","1","C","aa46_2_18","aa46_2_18","0,1"
"PreguntaAA46.3.18¿En qué año(s)?","1","C","aa46_3_18","aa46_3_18","0,1"
"PreguntaAA46.4.18¿En qué año(s)?","1","C","aa46_4_18","aa46_4_18","0,1"
"PreguntaAA46.5.18¿En qué año(s)?","1","C","aa46_5_18","aa46_5_18","0,1"
"PreguntaAA46.6.18¿En qué año(s)?","1","C","aa46_6_18","aa46_6_18","0,1"
"PreguntaAA46.7.18¿En qué año(s)?","1","C","aa46_7_18","aa46_7_18","0,1"
"PreguntaAA46.8.18¿En qué año(s)?","1","C","aa46_8_18","aa46_8_18","0,1"
"PreguntaAA46.9.18¿En qué año(s)?","1","C","aa46_9_18","aa46_9_18","0,1"
"PreguntaAA46.10.18¿En qué año(s)?","1","C","aa46_10_18","aa46_10_18","0,1"
"PreguntaAA46.11.18¿En qué año(s)?","1","C","aa46_11_18","aa46_11_18","0,1"
"PreguntaAA47.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","aa47_18","aa47_18","1,2,8,9"
"PreguntaAA47.1.18¿En qué año(s)?","1","C","aa47_1_18","aa47_1_18","0,1"
"PreguntaAA47.2.18¿En qué año(s)?","1","C","aa47_2_18","aa47_2_18","0,1"
"PreguntaAA47.3.18¿En qué año(s)?","1","C","aa47_3_18","aa47_3_18","0,1"
"PreguntaAA47.4.18¿En qué año(s)?","1","C","aa47_4_18","aa47_4_18","0,1"
"PreguntaAA47.5.18¿En qué año(s)?","1","C","aa47_5_18","aa47_5_18","0,1"
"PreguntaAA47.6.18¿En qué año(s)?","1","C","aa47_6_18","aa47_6_18","0,1"
"PreguntaAA47.7.18¿En qué año(s)?","1","C","aa47_7_18","aa47_7_18","0,1"
"PreguntaAA47.8.18¿En qué año(s)?","1","C","aa47_8_18","aa47_8_18","0,1"
"PreguntaAA47.9.18¿En qué año(s)?","1","C","aa47_9_18","aa47_9_18","0,1"
"PreguntaAA47.10.18¿En qué año(s)?","1","C","aa47_10_18","aa47_10_18","0,1"
"PreguntaAA47.11.18¿En qué año(s)?","1","C","aa47_11_18","aa47_11_18","0,1"
"PreguntaC1.18Ahora tengo algunas preguntas sobre su salud, ¿diría usted que su salud es...","1","C","c1_18","c1_18","1-5,8,9"
"PreguntaC2A.18Comparando su salud con la de hace dos años, ¿diría usted que su salud ahora está …","1","C","c2a_18","c2a_18","1-5,8,9"
"PreguntaC3A.18Comparado con otras personas de su edad, ¿diría usted que actualmente su salud es…","1","C","c3a_18","c3a_18","1-3,8,9"
"PreguntaC3B.18Durante los dos últimos años, ¿le ha atendido un doctor o personal médico?","1","C","c3b_18","c3b_18","1,2,8,9"
"PreguntaC4.18 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene hipertensión o presión alta?","1","C","c4_18","c4_18","1,2,8,9"
"PreguntaC5.18¿Está usted tomando ahora algún medicamento para bajar la presión?","1","C","c5_18","c5_18","1,2,8,9"
"PreguntaC6.18¿Alguna vez le ha dicho un doctor o personal médico que usted tiene diabetes?","1","C","c6_18","c6_18","1,2,8,9"
"PreguntaC7.18¿Está usted tomando ahora alguna medicina oralmente para controlar su diabetes?","1","C","c7_18","c7_18","1,2,8,9"
"PreguntaC8.18¿Está usted usando ahora inyecciones o bomba de insulina?","1","C","c8_18","c8_18","1,2,8,9"
"PreguntaC9.18¿Sigue una dieta especial para controlar su diabetes?","1","C","c9_18","c9_18","1,2,8,9"
"PreguntaC10.18 ¿En general ahora está su diabetes bajo control?","1","C","c10_18","c10_18","1,2,8,9"
"PreguntaC11.1.18¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina?","2","C","c11_1_18","c11_1_18","00-30,88,99"
"PreguntaC11.2.18¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina?","1","C","c11_2_18","c11_2_18","1-3,5,8,9"
"PreguntaC12.18¿Alguna vez le ha dicho un doctor o personal médico que usted tiene cáncer?","1","C","c12_18","c12_18","1,2,8,9"
"PreguntaC13.18En total, ¿cuántos cánceres en distintos lugares u órganos ha tenido usted?","2","C","c13_18","c13_18","01-04,88,99"
"PreguntaC14.01.18¿Qué tipo de cáncer?","1","C","c14_01_18","c14_01_18","0,1"
"PreguntaC14.02.18¿Qué tipo de cáncer?","1","C","c14_02_18","c14_02_18","0,1"
"PreguntaC14.03.18¿Qué tipo de cáncer?","1","C","c14_03_18","c14_03_18","0,1"
"PreguntaC14.04.18¿Qué tipo de cáncer?","1","C","c14_04_18","c14_04_18","0,1"
"PreguntaC14.05.18¿Qué tipo de cáncer?","1","C","c14_05_18","c14_05_18","0,1"
"PreguntaC14.06.18¿Qué tipo de cáncer?","1","C","c14_06_18","c14_06_18","0,1"
"PreguntaC14.07.18¿Qué tipo de cáncer?","1","C","c14_07_18","c14_07_18","0,1"
"PreguntaC14.08.18¿Qué tipo de cáncer?","1","C","c14_08_18","c14_08_18","0,1"
"PreguntaC14.09.18¿Qué tipo de cáncer?","1","C","c14_09_18","c14_09_18","0,1"
"PreguntaC14.10.18¿Qué tipo de cáncer?","1","C","c14_10_18","c14_10_18","0,1"
"PreguntaC14.88.18¿Qué tipo de cáncer?","1","C","c14_88_18","c14_88_18","0,1"
"PreguntaC14.99.18¿Qué tipo de cáncer?","1","C","c14_99_18","c14_99_18","0,1"
"PreguntaC15.18En los últimos dos años, ¿ha consultado a un doctor o personal médico sobre su cáncer?","1","C","c15_18","c15_18","1,2,8,9"
"PreguntaC16.1.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_1_18","c16_1_18","0,1"
"PreguntaC16.2.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_2_18","c16_2_18","0,1"
"PreguntaC16.3.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_3_18","c16_3_18","0,1"
"PreguntaC16.4.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_4_18","c16_4_18","0,1"
"PreguntaC16.5.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_5_18","c16_5_18","0,1"
"PreguntaC16.7.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_7_18","c16_7_18","0,1"
"PreguntaC16.7A.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","120","C","c16_7a_18","","A-Z, 1-9"
"PreguntaC16.8.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_8_18","c16_8_18","0,1"
"PreguntaC16.9.18Durante los últimos dos años, ¿qué tipo de tratamientos ha recibido para el cáncer?","1","C","c16_9_18","c16_9_18","0,1"
"PreguntaC17.18¿Está usted ahora recibiendo tratamiento para el cáncer?","1","C","c17_18","c17_18","1,2,8,9"
"PreguntaC18.1.18¿Cómo en qué año o a qué edad le diagnosticaron su cáncer (más reciente)?","4","C","c18_1_18","c18_1_18","1978-2018,8888, 9999"
"PreguntaC18.2.18¿Cómo en qué año o a qué edad le diagnosticaron su cáncer (más reciente)?","3","C","c18_2_18","c18_2_18","012-099"
"PreguntaC19.18¿Alguna vez le ha dicho un doctor o personal médico que usted tiene alguna enfermedad respiratoria, tal como asma o enfisema?","1","C","c19_18","c19_18","1,2,8,9"
"PreguntaC20A.18¿Está usted tomando ahora medicina u otro tratamiento para su enfermedad respiratoria?","1","C","c20a_18","c20a_18","1,2,8,9"
"PreguntaC20B.18¿Está recibiendo oxígeno para su enfermedad pulmonar?","1","C","c20b_18","c20b_18","1,2,8,9"
"PreguntaC21.18¿Esta condición le limita sus actividades normales tales como las labores del hogar o su trabajo?","1","C","c21_18","c21_18","1,2,8,9"
"PreguntaC22A.18¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido un ataque/infarto al corazón?","1","C","c22a_18","c22a_18","1,2,8,9"
"PreguntaC22B1.18¿Cómo en qué año o a qué edad tuvo su ataque/infarto al corazón (más reciente)?","4","C","c22b1_18","c22b1_18","1957-2018,8888, 9999"
"PreguntaC22B2.18¿Cómo en qué año o a qué edad tuvo su ataque/infarto al corazón (más reciente)?","3","C","c22b2_18","c22b2_18","001-087,089-098,888,999"
"PreguntaC23.18¿Está usted tomando ahora medicinas para su enfermedad del corazón?","1","C","c23_18","c23_18","1,2,8,9"
"PreguntaC25A.18 ¿Este problema del corazón le limita sus actividades normales tales como las labores del hogar o su trabajo?","1","C","c25a_18","c25a_18","1,2,8,9"
"PreguntaC25B.18¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido: falla cardiaca/insuficiencia cardiaca/falla congestiva del corazón, arritmia, o angina?","1","C","c25b_18","c25b_18","1,2,8,9"
"PreguntaC26.18¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido una embolia cerebral, derrame cerebral o isquemia cerebral transitoria?","1","C","c26_18","c26_18","1,2,8,9"
"PreguntaC27.1.18Debido a la embolia, ¿tiene usted… debilidad en los brazos y/o las piernas o ha disminuido su capacidad de moverlas o usarlas?","1","C","c27_1_18","c27_1_18","1,2,8,9"
"PreguntaC27.2.18Debido a la embolia, ¿tiene usted… dificultad en hablar o en comer?","1","C","c27_2_18","c27_2_18","1,2,8,9"
"PreguntaC27.3.18Debido a la embolia, ¿tiene usted… dificultad con la vista o visión?","1","C","c27_3_18","c27_3_18","1,2,8,9"
"PreguntaC27.4.18Debido a la embolia, ¿tiene usted… dificultad en pensar o en decir lo que quiere?","1","C","c27_4_18","c27_4_18","1,2,8,9"
"PreguntaC28.18¿Está usted tomando ahora medicinas debido a la embolia cerebral o por complicaciones de esta?","1","C","c28_18","c28_18","1,2,8,9"
"PreguntaC29.18¿Está usted recibiendo terapia o rehabilitación a causa de la embolia o las complicaciones que resultaron de esta?","1","C","c29_18","c29_18","1,2,8,9"
"PreguntaC30.1.18¿Cómo en qué año o a qué edad tuvo su embolia (más reciente)?","4","C","c30_1_18","c30_1_18","1918-2018,8888,9999"
"PreguntaC30.2.18¿Cómo en qué año o a qué edad tuvo su embolia (más reciente)?","3","C","c30_2_18","c30_2_18","001-090"
"PreguntaC31.18¿Esta embolia le ha limitado sus actividades normales tales como las labores del hogar o su trabajo?","1","C","c31_18","c31_18","1,2,8,9"
"PreguntaC32.18¿Alguna vez le ha dicho un doctor o personal médico que usted tiene artritis o reumatismo?","1","C","c32_18","c32_18","1,2,8,9"
"PreguntaC33.18¿Siente dolor, rigidez o hinchazón de las articulaciones o coyunturas?","1","C","c33_18","c33_18","1,2,8,9"
"PreguntaC34.18¿Está tomando medicinas o está recibiendo otro tratamiento para su artritis o reumatismo?","1","C","c34_18","c34_18","1,2,8,9"
"PreguntaC35.18¿Están limitadas a veces sus actividades normales tales como las labores del hogar o su trabajo por la artritis o reumatismo?","1","C","c35_18","c35_18","1,2,8,9"
"PreguntaC36.1.18En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía… infección del hígado?","1","C","c36_1_18","c36_1_18","1,2,8,9"
"PreguntaC36.2.18En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía… infección del riñon?","1","C","c36_2_18","c36_2_18","1,2,8,9"
"PreguntaC36.3.18En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía… tuberculosis?","1","C","c36_3_18","c36_3_18","1,2,8,9"
"PreguntaC36.4.18En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía… neumonía?","1","C","c36_4_18","c36_4_18","1,2,8,9"
"PreguntaC36.5.18En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía… herpes o herpes zóster?","1","C","c36_5_18","c36_5_18","1,2,8,9"
"PreguntaC37.18¿Se ha caído en los últimos dos años?","1","C","c37_18","c37_18","1,2,8,9"
"PreguntaC38.18¿Como cuántas veces ha ocurrido esto?","2","C","c38_18","c38_18","01-87,88,89-98,99"
"PreguntaC39.18¿Se lastimó en esa(s) caída(s) de tal manera que necesitó tratamiento médico?","1","C","c39_18","c39_18","1,2,8,9"
"PreguntaC40B.18En los últimos dos años, ¿se ha fracturado algún hueso?","1","C","c40b_18","c40b_18","1-4,8,9"
"PreguntaC41.18¿Normalmente usa usted lentes?","1","C","c41_18","c41_18","1,2,8,9"
"PreguntaC42.18¿Cómo es su visión (con lentes)? ¿es…","1","C","c42_18","c42_18","1-6,8,9"
"PreguntaC43.18¿Normalmente usa usted audífono o aparato auditivo?","1","C","c43_18","c43_18","1,2,8,9"
"PreguntaC44.18¿Cómo es su alcance de oído/audición (con aparato si normalmente lo usa)...","1","C","c44_18","c44_18","1-6,8,9"
"PreguntaC45.18¿Sufre de dolor físico a menudo?","1","C","c45_18","c45_18","1,2,8,9"
"PreguntaC46.18¿Cómo es el dolor físico la mayor parte del tiempo…","1","C","c46_18","c46_18","1-3,8,9"
"PreguntaC47.18¿Este dolor le limita sus actividades normales como las labores del hogar o el trabajo?","1","C","c47_18","c47_18","1,2,8,9"
"PreguntaC48A.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48a_18","c48a_18","1,2,8,9"
"PreguntaC48B.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48b_18","c48b_18","1,2,8,9"
"PreguntaC48C.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48c_18","c48c_18","1,2,8,9"
"PreguntaC48D.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48d_18","c48d_18","1,2,8,9"
"PreguntaC48E.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48e_18","c48e_18","1,2,8,9"
"PreguntaC48F.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48f_18","c48f_18","1,2,8,9"
"PreguntaC48G.18En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos?","1","C","c48g_18","c48g_18","1,2,8,9"
"PreguntaC48H.18En los últimos dos años, … ¿Se examina los senos cada mes para detectar nudos o bultos?","1","C","c48h_18","c48h_18","1-3,8,9"
"PreguntaC48I.18En los últimos dos años, … ¿Le han hecho una mamografía o una radiografía de los senos para detectar cáncer?","1","C","c48i_18","c48i_18","1-3,8,9"
"PreguntaC48J.18En los últimos dos años, … ¿Le han hecho una prueba Papanicolaou para cáncer de la matriz?","1","C","c48j_18","c48j_18","1-3,8,9"
"PreguntaC48K.18¿Qué edad tenía usted cuando terminó de pasar por su menopausia, es decir, su última menstruación o regla?","3","C","c48k_18","c48k_18","004-099,888,997,999"
"PreguntaC48K1.18¿Tenía usted…","1","C","c48k1_18","c48k1_18","1-3,8,9"
"PreguntaC48L.18¿Le han hecho una histerectomía, es decir una cirugía para quitarle la matriz (útero) y ovarios, o la matriz (útero) solamente?","1","C","c48l_18","c48l_18","1,2,8,9"
"PreguntaC48M.18En los dos últimos años, ¿le han hecho una prueba de tacto rectal o prueba de sangre para cáncer de próstata?","1","C","c48m_18","c48m_18","1-3,8,9"
"PreguntaC49.1.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… se ha sentido deprimido?","1","C","c49_1_18","c49_1_18","1,2,8,9"
"PreguntaC49.2.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… ha sentido que todo lo que hacía era un esfuerzo?","1","C","c49_2_18","c49_2_18","1,2,8,9"
"PreguntaC49.3.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… ha sentido que su sueño era intranquilo?","1","C","c49_3_18","c49_3_18","1,2,8,9"
"PreguntaC49.4.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… se ha sentido feliz?","1","C","c49_4_18","c49_4_18","1,2,8,9"
"PreguntaC49.5.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… se ha sentido solo?","1","C","c49_5_18","c49_5_18","1,2,8,9"
"PreguntaC49.6.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… ha sentido que disfrutaba de la vida?","1","C","c49_6_18","c49_6_18","1,2,8,9"
"PreguntaC49.7.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… se ha sentido triste?","1","C","c49_7_18","c49_7_18","1,2,8,9"
"PreguntaC49.8.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… se ha sentido cansado?","1","C","c49_8_18","c49_8_18","1,2,8,9"
"PreguntaC49.9.18Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo… ha sentido que tenía mucha energía?","1","C","c49_9_18","c49_9_18","1,2,8,9"
"PreguntaC50A.18En los últimos dos años, ¿Alguna vez se sintió usted triste, bajo(a) de ánimos, o deprimido(a) por dos o más semanas seguidas?","1","C","c50a_18","c50a_18","1,2,8,9"
"PreguntaC50B.18En promedio durante los últimos dos años, ¿ha hecho ejercicio o trabajo físico pesado tres veces por semana o más?","1","C","c50b_18","c50b_18","1,2,8,9"
"PreguntaC51.18¿Alguna vez ha fumado cigarros?","1","C","c51_18","c51_18","1,2,8,9"
"PreguntaC52.1.18¿Cuántos años tenía cuando comenzó a fumar?","3","C","c52_1_18","c52_1_18","001-099,888,999"
"PreguntaC52.2.18¿Cuántos años tenía cuando comenzó a fumar?","4","C","c52_2_18","c52_2_18","1950-2018"
"PreguntaC52.3.18¿Cuántos años tenía cuando comenzó a fumar?","2","C","c52_3_18","c52_3_18","01-49"
"PreguntaC53.18¿Fumó usted cigarros en los últimos dos años?","1","C","c53_18","c53_18","1,2,8,9"
"PreguntaC54.18¿Fuma cigarros actualmente?","1","C","c54_18","c54_18","1,2,8,9"
"PreguntaC55.18¿Qué tan a menudo fuma usted?","1","C","c55_18","c55_18","1,2,8,9"
"PreguntaC56.18¿Cuántos cigarros fuma usted normalmente al día?","2","C","c56_18","c56_18","01-86,87,88,89-98,99"
"PreguntaC57.18Cuando más fumaba usted, ¿cuántos cigarros se fumaba en un día?","2","C","c57_18","c57_18","00-86,87,88,99"
"PreguntaC58.1.18¿Hace cuántos años dejó de fumar?","2","C","c58_1_18","c58_1_18","01-82,88,99"
"PreguntaC58.2.18¿Hace cuántos años dejó de fumar?","4","C","c58_2_18","c58_2_18","1960-2018"
"PreguntaC58.3.18¿Hace cuántos años dejó de fumar?","3","C","c58_3_18","c58_3_18","007-085"
"PreguntaC59A.18¿Actualmente toma bebidas alcohólicas como cerveza, vino, licor, o pulque?","1","C","c59a_18","c59a_18","1-3,8,9"
"PreguntaC59B.18En los últimos tres meses, ¿como cuántos días por semana ha tomado alguna bebida alcohólica?","1","C","c59b_18","c59b_18","0-9"
"PreguntaC59C.18De los días en que tomó bebidas alcohólicas en los últimos tres meses, ¿como cuántas bebidas tomó por día?","2","C","c59c_18","c59c_18","01-82,88,99"
"PreguntaC59D.18En los últimos tres meses, ¿cuántos días tomó cuatro o más bebidas en una ocasión?","2","C","c59d_18","c59d_18","00,01-86,87,88,89-98,99"
"PreguntaC59E.18Durante los últimos dos años ¿ha tomado usted bebidas alcohólicas como cerveza, vino, licor o pulque?","1","C","c59e_18","c59e_18","1,2,8,9"
"PreguntaC64.18¿Comparado con hace dos años, usted…","1","C","c64_18","c64_18","1-3,8,9"
"PreguntaC65.18En los últimos dos años, ¿ha cambiado su alimentación o sus hábitos de ejercicio para subir o bajar de peso?","1","C","c65_18","c65_18","1,2,8,9"
"PreguntaC66.18¿Como cuántos kilos pesa usted ahora?","3","C","c66_18","c66_18","030-175,888,999"
"PreguntaC67.1.18¿Como cuánto mide usted sin zapatos?","1","C","c67_1_18","c67_1_18","1,2,8,9"
"PreguntaC67.2.18¿Como cuánto mide usted sin zapatos?","2","C","c67_2_18","c67_2_18","00-87,88,89-98,99"
"PreguntaC68A.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68a_18","c68a_18","1,2,8,9"
"PreguntaC68B.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68b_18","c68b_18","1,2,8,9"
"PreguntaC68C.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68c_18","c68c_18","1,2,8,9"
"PreguntaC68D.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68d_18","c68d_18","1,2,8,9"
"PreguntaC68E.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68e_18","c68e_18","1,2,8,9"
"PreguntaC68F.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68f_18","c68f_18","1,2,8,9"
"PreguntaC68G.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68g_18","c68g_18","1,2,8,9"
"PreguntaC68H.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68h_18","c68h_18","1,2,8,9"
"PreguntaC68I.18Durante los últimos dos años, ¿ha tenido alguno de los siguientes problemas o molestias frecuentemente?","1","C","c68i_18","c68i_18","1,2,8,9"
"PreguntaC69A.18¿Cómo evaluaría la fuerza de su mano (la que utiliza más)?, ¿diría que es…","1","C","c69a_18","c69a_18","1-4,8,9"
"PreguntaC69B.18¿Qué tan seguido tiene usted dificultad en mantener su equilibrio/balance?, ¿diría que…","1","C","c69b_18","c69b_18","1-4,8,9"
"PreguntaC70.18En los últimos dos años, ¿ha comido menos por falta de apetito, problemas digestivos, dificultades para masticar o tragar?","1","C","c70_18","c70_18","1-3,8,9"
"PreguntaC70A.18En los últimos dos años, ¿ha tenido dificultades para comer por problemas con sus dientes o su dentadura postiza?","1","C","c70a_18","c70a_18","1,2,8,9"
"PreguntaC71A.18¿Le falta alguna extremidad o parte de sus piernas o brazos debido a un accidente o enfermedad?","1","C","c71a_18","c71a_18","1,2,8,9"
"PreguntaC71B.18¿Ocurrió esta pérdida en los últimos dos años?","1","C","c71b_18","c71b_18","1,2,8,9"
"PreguntaC72.18¿Alguna vez le ha dicho un doctor o personal médico que sufre de algún problema de salud causado por su actividad laboral?","1","C","c72_18","c72_18","1-3,8,9"
"PreguntaC73.18Debido a enfermedad o heridas, durante los últimos 12 meses, ¿como cuántos días se tuvo que quedar en cama por más de medio día?","3","C","c73_18","c73_18","000,001-365,888,999"
"PreguntaC74A.18¿Con qué frecuencia tiene dificultad para quedarse dormido(a)? ¿diría que…","1","C","c74a_18","c74a_18","1-3,8,9"
"PreguntaC74B.18 ¿Con qué frecuencia se despierta durante la noche después de que se quedó dormido? ¿diría que…","1","C","c74b_18","c74b_18","1-3,8,9"
"PreguntaC74C.18¿Con qué frecuencia se despierta temprano y no puede dormirse nuevamente? ¿diría que…","1","C","c74c_18","c74c_18","1-3,8,9"
"PreguntaC74D.18¿Con qué frecuencia se siente descansado(a) cuando se despierta en las mañanas?","1","C","c74d_18","c74d_18","1-3,8,9"
"PreguntaC75.18En los últimos 12 meses, ¿usted cree que ha tenido…","1","C","c75_18","c75_18","1-4,8,9"
